,,,,,,,Population,Population,Population,Population in 2015 (readjusted),Population change number for 5 years,Population change rate for 5 years,Sex ratio,Area (reference),Population density,Number of households,Number of households,Number of households,Number of households in 2015 (readjusted),Number of households change number for 5 years,Number of households change rate for 5 years,Household members,Household members,Household members
,,,,,,,Sex,Sex,Sex,,,,,,,Type of household,Type of household,Type of household,,,,Type of household,Type of household,Type of household
,,,,,,,1,1,1,,,,,,,1,1,1,,,,1,1,1
,,,,,,,0_Total,1_Male,2_Female,,,,,,,0_Total,1_Private households,2_Institutional households,,,,0_Total,1_Private households,2_Institutional households
,,,,,,,(people),(people),(people),(people),(people),(%),,(km2),(per km2),(households),(households),(households),(households),(households),(%),(people),(people),(people)
Identification Area codes,Prefectures(2000),Area codes (2000),Areas in 2000,Prefectures (2020),Area codes (2020),Areas, ,,,,,,,,,,,,,,,,,
9,11_Saitama-ken,11445,2000,11_Saitama-ken,11246,1080_(Municipalities as of 2000) Shiraoka-machi,"52,214","25,764","26,450","51,535",679,1.31755,97.40643,24.88,"2,098.6","20,513","20,484",29,"19,183","1,330",6.93322,"52,214","51,119","1,095"
3,11_Saitama-ken,11301,2000,11_Saitama-ken,11301,1081_Ina-machi,"44,841","22,539","22,302","44,442",399,0.89780,101.06268,14.79,"3,031.8","17,812","17,793",19,"16,701","1,111",6.65230,"44,841","43,973",868
3,11_Saitama-ken,11324,2000,11_Saitama-ken,11324,1082_Miyoshi-machi,"38,434","18,949","19,485","38,456",-22,-0.05721,97.24917,15.33,"2,507.1","15,035","15,014",21,"14,328",707,4.93439,"38,434","36,964","1,470"
3,11_Saitama-ken,11326,2000,11_Saitama-ken,11326,1083_Moroyama-machi,"35,366","17,534","17,832","37,275","-1,909",-5.12140,98.32885,34.07,"1,038.0","15,764","15,722",42,"15,566",198,1.27200,"35,366","33,213","2,153"
3,11_Saitama-ken,11327,2000,11_Saitama-ken,11327,1084_Ogose-machi,"11,029","5,494","5,535","11,716",-687,-5.86378,99.25926,40.39,273.1,"4,587","4,578",9,"4,527",60,1.32538,"11,029","10,867",162
3,11_Saitama-ken,11341,2000,11_Saitama-ken,11341,1085_Namegawa-machi,"19,732","10,070","9,662","18,212","1,520",8.34615,104.22273,29.68,664.8,"7,650","7,640",10,"6,785",865,12.74871,"19,732","19,196",536
3,11_Saitama-ken,11342,2000,11_Saitama-ken,11342,1086_Ranzan-machi,"17,889","8,941","8,948","18,341",-452,-2.46442,99.92177,29.92,597.9,"7,421","7,389",32,"6,968",453,6.50115,"17,889","17,057",832
3,11_Saitama-ken,11343,2000,11_Saitama-ken,11343,1087_Ogawa-machi,"28,524","14,190","14,334","31,178","-2,654",-8.51241,98.99540,60.36,472.6,"11,781","11,759",22,"12,007",-226,-1.88224,"28,524","28,016",508
3,11_Saitama-ken,11346,2000,11_Saitama-ken,11346,1088_Kawajima-machi,"19,378","9,823","9,555","20,788","-1,410",-6.78276,102.80481,41.63,465.5,"7,269","7,263",6,"7,238",31,0.42830,"19,378","18,960",418
3,11_Saitama-ken,11347,2000,11_Saitama-ken,11347,1089_Yoshimi-machi,"18,192","9,127","9,065","19,631","-1,439",-7.33024,100.68395,38.64,470.8,"6,864","6,856",8,"6,834",30,0.43898,"18,192","17,860",332
3,11_Saitama-ken,11348,2000,11_Saitama-ken,11348,1090_Hatoyama-machi,"13,560","6,556","7,004","14,338",-778,-5.42614,93.60366,25.73,527.0,"5,399","5,379",20,"5,309",90,1.69523,"13,560","12,846",714
3,11_Saitama-ken,11349,,11_Saitama-ken,11349,1091_Tokigawa-machi,"10,540","5,333","5,207","11,492",-952,-8.28402,102.41982,55.90,188.6,"4,201","4,193",8,"4,199",2,0.04763,"10,540","10,289",251
9,11_Saitama-ken,11344,2000,11_Saitama-ken,11349,1092_(Municipalities as of 2000) Tokigawa-mura,"5,950","2,984","2,966","6,569",-619,-9.42305,100.60688,41.39,143.8,"2,393","2,389",4,"2,410",-17,-0.70539,"5,950","5,844",106
9,11_Saitama-ken,11345,2000,11_Saitama-ken,11349,1093_(Municipalities as of 2000) Tamagawa-mura,"4,590","2,349","2,241","4,923",-333,-6.76417,104.81928,14.38,319.2,"1,808","1,804",4,"1,789",19,1.06205,"4,590","4,445",145
3,11_Saitama-ken,11361,2000,11_Saitama-ken,11361,1094_Yokoze-machi,"7,979","3,966","4,013","8,519",-540,-6.33877,98.82881,49.36,161.6,"3,080","3,076",4,"3,074",6,0.19519,"7,979","7,772",207
3,11_Saitama-ken,11362,2000,11_Saitama-ken,11362,1095_Minano-machi,"9,302","4,583","4,719","10,133",-831,-8.20093,97.11803,63.74,145.9,"3,584","3,576",8,"3,662",-78,-2.12998,"9,302","8,987",315
3,11_Saitama-ken,11363,2000,11_Saitama-ken,11363,1096_Nagatoro-machi,"6,807","3,321","3,486","7,324",-517,-7.05898,95.26678,30.43,223.7,"2,605","2,599",6,"2,648",-43,-1.62387,"6,807","6,566",241
3,11_Saitama-ken,11365,,11_Saitama-ken,11365,1097_Ogano-machi,"10,928","5,382","5,546","12,117","-1,189",-9.81266,97.04291,171.26,63.8,"4,170","4,156",14,"4,363",-193,-4.42356,"10,928","10,591",337
9,11_Saitama-ken,11365,2000,11_Saitama-ken,11365,1098_(Municipalities as of 2000) Ogano-machi,"8,880","4,344","4,536","9,751",-871,-8.93242,95.76720,100.03,88.8,"3,378","3,368",10,"3,507",-129,-3.67836,"8,880","8,632",248
9,11_Saitama-ken,11366,2000,11_Saitama-ken,11365,1099_(Municipalities as of 2000) Ryokami-mura,"2,048","1,038","1,010","2,366",-318,-13.44041,102.77228,71.42,28.7,792,788,4,856,-64,-7.47664,"2,048","1,959",89
3,11_Saitama-ken,11369,2000,11_Saitama-ken,11369,1100_Higashichichibu-mura,"2,709","1,352","1,357","2,915",-206,-7.06690,99.63154,37.06,73.1,990,988,2,"1,028",-38,-3.69650,"2,709","2,540",169
3,11_Saitama-ken,11381,2000,11_Saitama-ken,11381,1101_Misato-machi,"11,039","5,540","5,499","11,207",-168,-1.49906,100.74559,33.41,330.4,"3,854","3,833",21,"3,612",242,6.69989,"11,039","10,319",720
3,11_Saitama-ken,11383,,11_Saitama-ken,11383,1102_Kamikawa-machi,"13,359","6,755","6,604","13,730",-371,-2.70211,102.28649,47.40,281.8,"5,220","5,182",38,"5,033",187,3.71548,"13,359","12,624",735
9,11_Saitama-ken,11383,2000,11_Saitama-ken,11383,1103_(Municipalities as of 2000) Kamikawa-machi,"12,470","6,328","6,142","12,740",-270,-2.11931,103.02833,23.17,538.2,"4,865","4,828",37,"4,659",206,4.42155,"12,470","11,818",652
9,11_Saitama-ken,11384,2000,11_Saitama-ken,11383,1104_(Municipalities as of 2000) Kamiizumi-mura,889,427,462,990,-101,-10.20202,92.42424,24.25,36.7,355,354,1,374,-19,-5.08021,889,806,83
3,11_Saitama-ken,11385,2000,11_Saitama-ken,11385,1105_Kamisato-machi,"30,343","15,012","15,331","30,565",-222,-0.72632,97.91925,29.18,"1,039.9","11,856","11,824",32,"11,225",631,5.62138,"30,343","29,446",897
3,11_Saitama-ken,11408,2000,11_Saitama-ken,11408,1106_Yorii-machi,"32,374","16,053","16,321","34,081","-1,707",-5.00866,98.35794,64.25,503.9,"13,287","13,239",48,"12,934",353,2.72924,"32,374","31,496",878
3,11_Saitama-ken,11442,2000,11_Saitama-ken,11442,1107_Miyashiro-machi,"34,147","17,182","16,965","33,705",442,1.31138,101.27910,15.95,"2,140.9","14,572","14,558",14,"13,728",844,6.14802,"34,147","33,574",573
3,11_Saitama-ken,11464,2000,11_Saitama-ken,11464,1108_Sugito-machi,"43,845","21,927","21,918","45,495","-1,650",-3.62677,100.04106,30.03,"1,460.0","17,706","17,680",26,"17,348",358,2.06364,"43,845","43,226",619
3,11_Saitama-ken,11465,2000,11_Saitama-ken,11465,1109_Matsubushi-machi,"28,266","14,208","14,058","30,061","-1,795",-5.97119,101.06701,16.20,"1,744.8","10,740","10,728",12,"10,702",38,0.35507,"28,266","27,696",570
a,12_Chiba-ken,12000,2000,12_Chiba-ken,12000,1110_Chiba-ken,"6,284,480","3,117,987","3,166,493","6,222,666","61,814",0.99337,98.46815,"5,157.57","1,218.5","2,773,840","2,767,661","6,179","2,609,132","164,708",6.31275,"6,284,480","6,166,145","118,335"
1,12_Chiba-ken,12100,2000,12_Chiba-ken,12100,1111_Chiba-shi,"974,951","481,246","493,705","971,882","3,069",0.31578,97.47643,271.78,"3,587.3","447,982","445,814","2,168","417,857","30,125",7.20940,"974,951","953,587","21,364"
0,12_Chiba-ken,12101,2000,12_Chiba-ken,12101,1112_Chiba-shi Chuo-ku,"211,736","105,766","105,970","205,227","6,509",3.17161,99.80749,44.72,"4,734.7","109,336","108,870",466,"95,305","14,031",14.72221,"211,736","206,676","5,060"
0,12_Chiba-ken,12102,2000,12_Chiba-ken,12102,1113_Chiba-shi Hanamigawa-ku,"177,328","87,280","90,048","179,200","-1,872",-1.04464,96.92608,34.19,"5,186.5","81,123","80,978",145,"77,732","3,391",4.36242,"177,328","174,203","3,125"
0,12_Chiba-ken,12103,2000,12_Chiba-ken,12103,1114_Chiba-shi Inage-ku,"160,582","80,345","80,237","160,968",-386,-0.23980,100.13460,21.22,"7,567.5","74,796","74,088",708,"71,334","3,462",4.85323,"160,582","157,723","2,859"
0,12_Chiba-ken,12104,2000,12_Chiba-ken,12104,1115_Chiba-shi Wakaba-ku,"146,940","73,000","73,940","150,921","-3,981",-2.63780,98.72870,84.19,"1,745.3","64,840","64,173",667,"62,695","2,145",3.42133,"146,940","141,040","5,900"
0,12_Chiba-ken,12105,2000,12_Chiba-ken,12105,1116_Chiba-shi Midori-ku,"129,421","63,121","66,300","126,848","2,573",2.02841,95.20513,66.25,"1,953.5","50,996","50,834",162,"46,792","4,204",8.98444,"129,421","125,982","3,439"
0,12_Chiba-ken,12106,2000,12_Chiba-ken,12106,1117_Chiba-shi Mihama-ku,"148,944","71,734","77,210","148,718",226,0.15197,92.90765,21.20,"7,025.7","66,891","66,871",20,"63,999","2,892",4.51882,"148,944","147,963",981
2,12_Chiba-ken,12202,2000,12_Chiba-ken,12202,1118_Choshi-shi,"58,431","28,248","30,183","64,415","-5,984",-9.28976,93.58911,84.20,694.0,"25,544","25,505",39,"26,234",-690,-2.63017,"58,431","57,313","1,118"
2,12_Chiba-ken,12203,2000,12_Chiba-ken,12203,1119_Ichikawa-shi,"496,676","251,351","245,325","481,732","14,944",3.10214,102.45633,57.45,"8,645.4","242,970","242,637",333,"228,845","14,125",6.17230,"496,676","491,567","5,109"
2,12_Chiba-ken,12204,2000,12_Chiba-ken,12204,1120_Funabashi-shi,"642,907","318,860","324,047","622,890","20,017",3.21357,98.39931,85.62,"7,508.8","289,916","289,591",325,"272,432","17,484",6.41775,"642,907","633,423","9,484"
2,12_Chiba-ken,12205,2000,12_Chiba-ken,12205,1121_Tateyama-shi,"45,153","21,846","23,307","47,464","-2,311",-4.86895,93.73150,110.05,410.3,"20,272","20,172",100,"20,146",126,0.62543,"45,153","42,971","2,182"
2,12_Chiba-ken,12206,2000,12_Chiba-ken,12206,1122_Kisarazu-shi,"136,166","68,450","67,716","134,141","2,025",1.50961,101.08394,138.95,980.0,"58,387","58,265",122,"54,920","3,467",6.31282,"136,166","132,544","3,622"
2,12_Chiba-ken,12207,2000,12_Chiba-ken,12207,1123_Matsudo-shi,"498,232","247,210","251,022","483,480","14,752",3.05121,98.48141,61.38,"8,117.2","231,195","230,931",264,"215,627","15,568",7.21988,"498,232","490,216","8,016"
2,12_Chiba-ken,12208,,12_Chiba-ken,12208,1124_Noda-shi,"152,638","76,195","76,443","153,583",-945,-0.61530,99.67558,103.55,"1,474.1","63,581","63,483",98,"59,712","3,869",6.47943,"152,638","149,477","3,161"
9,12_Chiba-ken,12208,2000,12_Chiba-ken,12208,1125_(Municipalities as of 2000) Noda-shi,"128,103","63,737","64,366","126,924","1,179",0.92890,99.02278,73.72,"1,737.7","53,622","53,535",87,"49,947","3,675",7.35780,"128,103","125,313","2,790"
9,12_Chiba-ken,12303,2000,12_Chiba-ken,12208,1126_(Municipalities as of 2000) Sekiyado-machi,"24,535","12,458","12,077","26,659","-2,124",-7.96729,103.15476,29.82,822.8,"9,959","9,948",11,"9,765",194,1.98669,"24,535","24,164",371
2,12_Chiba-ken,12210,2000,12_Chiba-ken,12210,1127_Mobara-shi,"86,782","42,643","44,139","89,688","-2,906",-3.24012,96.61071,99.92,868.5,"37,120","37,011",109,"36,026","1,094",3.03670,"86,782","84,985","1,797"
2,12_Chiba-ken,12211,,12_Chiba-ken,12211,1128_Narita-shi,"132,906","66,231","66,675","131,190","1,716",1.30803,99.33408,213.84,621.5,"60,231","60,126",105,"55,462","4,769",8.59868,"132,906","129,728","3,178"
9,12_Chiba-ken,12211,2000,12_Chiba-ken,12211,1129_(Municipalities as of 2000) Narita-shi,"116,069","57,650","58,419","112,993","3,076",2.72229,98.68365,131.27,884.2,"53,965","53,906",59,"49,164","4,801",9.76528,"116,069","113,721","2,348"
9,12_Chiba-ken,12341,2000,12_Chiba-ken,12211,1130_(Municipalities as of 2000) Shimofusa-machi,"6,185","3,110","3,075","6,760",-575,-8.50592,101.13821,32.00,193.3,"2,367","2,351",16,"2,413",-46,-1.90634,"6,185","6,014",171
9,12_Chiba-ken,12343,2000,12_Chiba-ken,12211,1131_(Municipalities as of 2000) Taiei-machi,"10,652","5,471","5,181","11,437",-785,-6.86369,105.59738,50.57,210.6,"3,899","3,869",30,"3,885",14,0.36036,"10,652","9,993",659
2,12_Chiba-ken,12212,2000,12_Chiba-ken,12212,1132_Sakura-shi,"168,743","82,421","86,322","172,739","-3,996",-2.31332,95.48087,103.69,"1,627.4","70,279","70,131",148,"68,696","1,583",2.30436,"168,743","165,898","2,845"
2,12_Chiba-ken,12213,2000,12_Chiba-ken,12213,1133_Togane-shi,"58,219","29,251","28,968","60,652","-2,433",-4.01141,100.97694,89.12,653.3,"25,403","25,355",48,"25,114",289,1.15075,"58,219","57,261",958
2,12_Chiba-ken,12215,,12_Chiba-ken,12215,1134_Asahi-shi,"63,745","31,379","32,366","66,586","-2,841",-4.26666,96.95050,130.45,488.7,"24,299","24,246",53,"23,350",949,4.06424,"63,745","62,318","1,427"
9,12_Chiba-ken,12215,2000,12_Chiba-ken,12215,1135_(Municipalities as of 2000) Asahi-shi,"38,693","19,002","19,691","39,608",-915,-2.31014,96.50094,50.61,764.5,"15,299","15,260",39,"14,477",822,5.67797,"38,693","37,570","1,123"
9,12_Chiba-ken,12348,2000,12_Chiba-ken,12215,1136_(Municipalities as of 2000) Hikata-machi,"6,160","3,040","3,120","6,854",-694,-10.12547,97.43590,32.44,189.9,"1,996","1,993",3,"2,002",-6,-0.29970,"6,160","6,068",92
9,12_Chiba-ken,12361,2000,12_Chiba-ken,12215,1137_(Municipalities as of 2000) Unakami-machi,"10,218","5,037","5,181","10,726",-508,-4.73616,97.22061,28.59,357.4,"3,698","3,692",6,"3,552",146,4.11036,"10,218","10,108",110
9,12_Chiba-ken,12362,2000,12_Chiba-ken,12215,1138_(Municipalities as of 2000) Iioka-machi,"8,674","4,300","4,374","9,398",-724,-7.70377,98.30818,18.27,474.8,"3,306","3,301",5,"3,319",-13,-0.39168,"8,674","8,572",102
2,12_Chiba-ken,12216,2000,12_Chiba-ken,12216,1139_Narashino-shi,"176,197","87,882","88,315","167,909","8,288",4.93601,99.50971,20.97,"8,402.3","79,423","79,267",156,"72,350","7,073",9.77609,"176,197","173,448","2,749"
2,12_Chiba-ken,12217,,12_Chiba-ken,12217,1140_Kashiwa-shi,"426,468","210,824","215,644","413,954","12,514",3.02304,97.76483,114.74,"3,716.8","188,022","187,782",240,"175,691","12,331",7.01857,"426,468","418,720","7,748"
9,12_Chiba-ken,12217,2000,12_Chiba-ken,12217,1141_(Municipalities as of 2000) Kashiwa-shi,"373,951","184,615","189,336","361,468","12,483",3.45342,97.50655,72.91,"5,128.9","167,374","167,187",187,"156,082","11,292",7.23466,"373,951","368,310","5,641"
9,12_Chiba-ken,12305,2000,12_Chiba-ken,12217,1142_(Municipalities as of 2000) Shonan-machi,"52,517","26,209","26,308","52,486",31,0.05906,99.62369,41.99,"1,250.7","20,648","20,595",53,"19,609","1,039",5.29859,"52,517","50,410","2,107"
2,12_Chiba-ken,12218,2000,12_Chiba-ken,12218,1143_Katsuura-shi,"16,927","8,704","8,223","19,248","-2,321",-12.05840,105.84945,93.96,180.2,"8,192","8,164",28,"8,965",-773,-8.62242,"16,927","16,413",514
2,12_Chiba-ken,12219,2000,12_Chiba-ken,12219,1144_Ichihara-shi,"269,524","138,438","131,086","274,656","-5,132",-1.86852,105.60853,368.17,732.1,"117,997","117,584",413,"113,518","4,479",3.94563,"269,524","264,794","4,730"
2,12_Chiba-ken,12220,2000,12_Chiba-ken,12220,1145_Nagareyama-shi,"199,849","98,431","101,418","174,373","25,476",14.61006,97.05476,35.32,"5,658.2","83,115","83,001",114,"70,802","12,313",17.39075,"199,849","196,623","3,226"
2,12_Chiba-ken,12221,2000,12_Chiba-ken,12221,1146_Yachiyo-shi,"199,498","97,920","101,578","193,152","6,346",3.28550,96.39883,51.39,"3,882.0","85,158","85,032",126,"78,358","6,800",8.67812,"199,498","195,582","3,916"
2,12_Chiba-ken,12222,2000,12_Chiba-ken,12222,1147_Abiko-shi,"130,510","63,546","66,964","131,606","-1,096",-0.83279,94.89576,43.15,"3,024.6","56,311","56,242",69,"54,089","2,222",4.10804,"130,510","128,225","2,285"
2,12_Chiba-ken,12223,,12_Chiba-ken,12223,1148_Kamogawa-shi,"32,116","15,224","16,892","33,932","-1,816",-5.35188,90.12550,191.14,168.0,"14,578","14,533",45,"14,453",125,0.86487,"32,116","30,744","1,372"
9,12_Chiba-ken,12223,2000,12_Chiba-ken,12223,1149_(Municipalities as of 2000) Kamogawa-shi,"26,904","12,713","14,191","27,990","-1,086",-3.87996,89.58495,147.35,182.6,"12,293","12,252",41,"11,989",304,2.53566,"26,904","25,687","1,217"
9,12_Chiba-ken,12472,2000,12_Chiba-ken,12223,1150_(Municipalities as of 2000) Amatsukominato-machi,"5,212","2,511","2,701","5,942",-730,-12.28543,92.96557,43.95,118.6,"2,285","2,281",4,"2,464",-179,-7.26461,"5,212","5,057",155
2,12_Chiba-ken,12224,2000,12_Chiba-ken,12224,1151_Kamagaya-shi,"109,932","53,592","56,340","108,917","1,015",0.93190,95.12247,21.08,"5,215.0","47,146","47,094",52,"44,101","3,045",6.90461,"109,932","107,713","2,219"
2,12_Chiba-ken,12225,2000,12_Chiba-ken,12225,1152_Kimitsu-shi,"82,206","41,928","40,278","86,033","-3,827",-4.44829,104.09653,318.81,257.9,"35,266","35,201",65,"34,447",819,2.37757,"82,206","80,096","2,110"
2,12_Chiba-ken,12226,2000,12_Chiba-ken,12226,1153_Futtsu-shi,"42,465","21,529","20,936","45,601","-3,136",-6.87704,102.83244,205.50,206.6,"17,830","17,754",76,"17,634",196,1.11149,"42,465","41,311","1,154"
2,12_Chiba-ken,12227,2000,12_Chiba-ken,12227,1154_Urayasu-shi,"171,362","83,506","87,856","164,024","7,338",4.47374,95.04872,17.30,"9,905.3","80,321","80,250",71,"74,229","6,092",8.20703,"171,362","169,950","1,412"
2,12_Chiba-ken,12228,2000,12_Chiba-ken,12228,1155_Yotsukaido-shi,"93,576","46,347","47,229","89,245","4,331",4.85293,98.13250,34.52,"2,710.8","38,456","38,407",49,"35,014","3,442",9.83035,"93,576","91,947","1,629"
2,12_Chiba-ken,12229,2000,12_Chiba-ken,12229,1156_Sodegaura-shi,"63,883","32,214","31,669","60,952","2,931",4.80870,101.72093,94.93,672.9,"25,430","25,321",109,"22,652","2,778",12.26382,"63,883","62,178","1,705"
2,12_Chiba-ken,12230,2000,12_Chiba-ken,12230,1157_Yachimata-shi,"67,455","34,113","33,342","70,734","-3,279",-4.63568,102.31240,74.94,900.1,"27,942","27,846",96,"27,074",868,3.20603,"67,455","65,947","1,508"
2,12_Chiba-ken,12231,,12_Chiba-ken,12231,1158_Inzai-shi,"102,609","50,574","52,035","92,670","9,939",10.72515,97.19227,123.79,828.9,"38,349","38,311",38,"32,590","5,759",17.67106,"102,609","101,009","1,600"
9,12_Chiba-ken,12231,2000,12_Chiba-ken,12231,1159_(Municipalities as of 2000) Inzai-shi,"81,379","40,025","41,354","70,487","10,892",15.45249,96.78628,53.51,"1,520.8","30,858","30,838",20,"25,609","5,249",20.49670,"81,379","80,827",552
9,12_Chiba-ken,12325,2000,12_Chiba-ken,12231,1160_(Municipalities as of 2000) Inba-mura,"13,104","6,564","6,540","13,695",-591,-4.31544,100.36697,46.57,281.4,"4,675","4,661",14,"4,293",382,8.89821,"13,104","12,234",870
9,12_Chiba-ken,12328,2000,12_Chiba-ken,12231,1161_(Municipalities as of 2000) Motono-mura,"8,126","3,985","4,141","8,488",-362,-4.26484,96.23279,23.72,342.6,"2,816","2,812",4,"2,688",128,4.76190,"8,126","7,948",178
2,12_Chiba-ken,12326,,12_Chiba-ken,12232,1162_Shiroi-shi,"62,441","30,916","31,525","61,674",767,1.24364,98.06820,35.48,"1,759.9","24,141","24,110",31,"22,725","1,416",6.23102,"62,441","61,314","1,127"
9,12_Chiba-ken,12326,2000,12_Chiba-ken,12232,1163_(Municipalities as of 2000) Shiroi-machi,"62,441","30,916","31,525","61,674",767,1.24364,98.06820,35.41,"1,763.4","24,141","24,110",31,"22,725","1,416",6.23102,"62,441","61,314","1,127"
2,12_Chiba-ken,12324,,12_Chiba-ken,12233,1164_Tomisato-shi,"49,735","25,303","24,432","49,636",99,0.19945,103.56500,53.88,923.1,"21,885","21,863",22,"20,057","1,828",9.11403,"49,735","49,038",697
9,12_Chiba-ken,12324,2000,12_Chiba-ken,12233,1165_(Municipalities as of 2000) Tomisato-machi,"49,735","25,303","24,432","49,636",99,0.19945,103.56500,53.91,922.6,"21,885","21,863",22,"20,057","1,828",9.11403,"49,735","49,038",697
2,12_Chiba-ken,12234,,12_Chiba-ken,12234,1166_Minamiboso-shi,"35,831","17,011","18,820","39,033","-3,202",-8.20332,90.38789,230.12,155.7,"14,720","14,666",54,"15,061",-341,-2.26413,"35,831","34,380","1,451"
9,12_Chiba-ken,12461,2000,12_Chiba-ken,12234,1167_(Municipalities as of 2000) Tomiura-machi,"4,167","1,969","2,198","4,684",-517,-11.03757,89.58144,25.69,162.2,"1,655","1,646",9,"1,775",-120,-6.76056,"4,167","4,029",138
9,12_Chiba-ken,12462,2000,12_Chiba-ken,12234,1168_(Municipalities as of 2000) Tomiyama-machi,"4,779","2,283","2,496","5,177",-398,-7.68785,91.46635,40.34,118.5,"1,935","1,930",5,"1,958",-23,-1.17467,"4,779","4,598",181
9,12_Chiba-ken,12464,2000,12_Chiba-ken,12234,1169_(Municipalities as of 2000) Miyoshi-mura,"4,107","1,944","2,163","4,363",-256,-5.86752,89.87517,33.92,121.1,"1,415","1,407",8,"1,434",-19,-1.32497,"4,107","3,724",383
9,12_Chiba-ken,12465,2000,12_Chiba-ken,12234,1170_(Municipalities as of 2000) Shirahama-machi,"4,228","1,945","2,283","4,657",-429,-9.21194,85.19492,17.07,247.7,"1,963","1,959",4,"2,050",-87,-4.24390,"4,228","4,142",86
9,12_Chiba-ken,12466,2000,12_Chiba-ken,12234,1171_(Municipalities as of 2000) Chikura-machi,"9,656","4,569","5,087","10,563",-907,-8.58658,89.81718,36.64,263.5,"4,209","4,201",8,"4,316",-107,-2.47915,"9,656","9,459",197
9,12_Chiba-ken,12467,2000,12_Chiba-ken,12234,1172_(Municipalities as of 2000) Maruyama-machi,"4,455","2,160","2,295","4,830",-375,-7.76398,94.11765,44.11,101.0,"1,790","1,778",12,"1,763",27,1.53148,"4,455","4,278",177
9,12_Chiba-ken,12468,2000,12_Chiba-ken,12234,1173_(Municipalities as of 2000) Wada-machi,"4,439","2,141","2,298","4,759",-320,-6.72410,93.16797,32.45,136.8,"1,753","1,745",8,"1,765",-12,-0.67989,"4,439","4,150",289
2,12_Chiba-ken,12235,,12_Chiba-ken,12235,1174_Sosa-shi,"35,040","17,251","17,789","37,261","-2,221",-5.96066,96.97566,101.52,345.2,"12,883","12,848",35,"12,712",171,1.34519,"35,040","33,934","1,106"
9,12_Chiba-ken,12214,2000,12_Chiba-ken,12235,1175_(Municipalities as of 2000) Yokaichiba-shi,"27,225","13,389","13,836","28,915","-1,690",-5.84472,96.76930,80.75,337.2,"10,160","10,137",23,"10,060",100,0.99404,"27,225","26,391",834
9,12_Chiba-ken,12382,2000,12_Chiba-ken,12235,1176_(Municipalities as of 2000) Nosaka-machi,"7,815","3,862","3,953","8,346",-531,-6.36233,97.69795,21.03,371.6,"2,723","2,711",12,"2,652",71,2.67722,"7,815","7,543",272
2,12_Chiba-ken,12236,,12_Chiba-ken,12236,1177_Katori-shi,"72,356","35,626","36,730","77,499","-5,143",-6.63621,96.99428,262.35,275.8,"27,572","27,516",56,"27,294",278,1.01854,"72,356","70,693","1,663"
9,12_Chiba-ken,12209,2000,12_Chiba-ken,12236,1178_(Municipalities as of 2000) Sawara-shi,"37,710","18,586","19,124","40,775","-3,065",-7.51686,97.18678,119.88,314.6,"14,810","14,782",28,"14,903",-93,-0.62404,"37,710","37,195",515
9,12_Chiba-ken,12344,2000,12_Chiba-ken,12236,1179_(Municipalities as of 2000) Omigawa-machi,"21,699","10,656","11,043","22,746","-1,047",-4.60301,96.49552,61.84,350.9,"8,356","8,340",16,"8,051",305,3.78835,"21,699","21,000",699
9,12_Chiba-ken,12345,2000,12_Chiba-ken,12236,1180_(Municipalities as of 2000) Yamada-machi,"8,740","4,292","4,448","9,516",-776,-8.15469,96.49281,51.54,169.6,"2,924","2,919",5,"2,871",53,1.84605,"8,740","8,534",206
9,12_Chiba-ken,12346,2000,12_Chiba-ken,12236,1181_(Municipalities as of 2000) Kurimoto-machi,"4,207","2,092","2,115","4,462",-255,-5.71493,98.91253,29.05,144.8,"1,482","1,475",7,"1,469",13,0.88496,"4,207","3,964",243
2,12_Chiba-ken,12237,,12_Chiba-ken,12237,1182_Sammu-shi,"48,444","24,200","24,244","52,222","-3,778",-7.23450,99.81851,146.77,330.1,"19,403","19,367",36,"19,454",-51,-0.26216,"48,444","47,625",819
9,12_Chiba-ken,12404,2000,12_Chiba-ken,12237,1183_(Municipalities as of 2000) Naruto-machi,"20,647","10,237","10,410","21,944","-1,297",-5.91050,98.33814,47.02,439.1,"8,356","8,338",18,"8,359",-3,-0.03589,"20,647","20,297",350
9,12_Chiba-ken,12405,2000,12_Chiba-ken,12237,1184_(Municipalities as of 2000) Sambu-machi,"15,351","7,787","7,564","16,731","-1,380",-8.24816,102.94818,52.05,294.9,"6,289","6,283",6,"6,305",-16,-0.25377,"15,351","15,194",157
9,12_Chiba-ken,12406,2000,12_Chiba-ken,12237,1185_(Municipalities as of 2000) Hasunuma-mura,"3,682","1,796","1,886","4,017",-335,-8.33956,95.22800,9.72,378.8,"1,319","1,315",4,"1,336",-17,-1.27246,"3,682","3,513",169
9,12_Chiba-ken,12407,2000,12_Chiba-ken,12237,1186_(Municipalities as of 2000) Matsuo-machi,"8,764","4,380","4,384","9,530",-766,-8.03778,99.90876,37.59,233.1,"3,439","3,431",8,"3,454",-15,-0.43428,"8,764","8,621",143
2,12_Chiba-ken,12238,,12_Chiba-ken,12238,1187_Isumi-shi,"35,544","17,362","18,182","38,594","-3,050",-7.90278,95.49005,157.50,225.7,"14,484","14,448",36,"14,849",-365,-2.45808,"35,544","34,387","1,157"
9,12_Chiba-ken,12442,2000,12_Chiba-ken,12238,1188_(Municipalities as of 2000) Isumi-machi,"6,124","3,011","3,113","6,772",-648,-9.56881,96.72342,44.23,138.5,"2,306","2,299",7,"2,362",-56,-2.37087,"6,124","5,861",263
